--------- beginning of events
07-16 19:30:16.470  1130  1130 I auditd  : Multiple same specifications for miui.mqsas.MQSService.
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:50): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61562 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:51): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59887 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:52): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61312 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:53): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59837 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:54): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61062 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:55): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60812 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:56): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61512 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:57): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60562 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:58): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61262 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:59): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59787 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:60): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60312 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:61): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61012 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:62): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60062 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:63): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60762 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:64): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61462 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:65): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60512 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:66): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61212 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:67): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59737 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:68): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60262 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:69): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60962 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:70): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60012 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:71): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60712 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:72): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61412 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:73): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60462 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:74): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61162 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:75): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59687 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:76): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60212 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:77): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60912 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:78): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61612 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:79): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59962 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:80): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60662 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:81): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61362 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:82): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60412 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:83): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61112 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:84): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59637 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:85): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60162 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
